"ID","items"
1,"bright,light,ufo"
2,"bright,ascending,light,vanished,flash"
3,"amber,orbs,floating,high,rate,speed"
4,"cluster,objects,ascending,sky"
5,"orange,circles,fireballs,seen,traveling,one,group,moving,one,time,path"
6,"approx,lights,formation,milford,ct,multiple,approx,p"
7,"nine,objects,fireball,viewed,eye,viewed,camera,flew,straight,line"
8,"orange,lights"
9,"strange,object,sky,following,plane"
10,"lights,triangular,orange,amp,white"
11,"overflight,two,orbs"
12,"bright,blue,disk,two,bright,red,lights,hovering,moving,back,forth,sky,disappeared"
13,"small,ufo,garden,daylight,feet,away,second,ct,oct"
14,"triangular,orange,lights,hovering,ct"
15,"three,large,orbs,flashing"
16,"smaller,lights,side,larger,lights,center,white,lights"
17,"circled,house,cloud,line"
18,"green,light,circling,house"
19,"orange,sets,lights"
20,"several,bright,orange,oval,shaped,lights,south,windsor,ct,around,mins"
21,"sequence,five,orange,lights,identical"
22,"two,orange,illuminated,objects,total,silence,made,passes,front,house,min,activity"
23,"ten,fireballs,traveling,straight,line,across,horizon"
24,"driving,chase,ave,going,toward,lakewood,rd,looked,sky,seen,thought,airplane,fling,low"
25,"single,orange,light,hovers,ft,treeline,exiting,view,south"
26,"hoax,watching,movie,white,flash,came,sky,min,another,flash,blinded,ended,left"
27,"started,round,bright,light,travel,air,least,houses,came,house,across,street,f"
28,"rectangular,object,flying,lower,plane,height,one,bright,light"
29,"teal,ball,light,hovers,nearly,mins,tree,line,ct"
30,"white,lights,flying,v,formation,fast,breaking,away,fading"
31,"orange,orbs,night,sky"
32,"vibrant,yellow,lights,forming,perfect,triangle"
33,"minutes,pm,november,clear,observed,stars"
34,"orange,fireballs"
35,"driving,east,main,street,left,saw,like,balls,sky,went"
36,"orange,lights,horizon"
37,"conical,one,spherical,object,spotted,new,long,island,sound,november"
38,"flashing,orbs,sky,ct,river,note,suspect,star,sighting,pd"
39,"bright,light,night,sky"
40,"amber,light"
41,"fireball,seen,ct,sky"
42,"large,bright,blob,night,sky"
43,"nov,bright,red,round,object,emitting,red,amp,blue,rays,new,milford,ct,slowly,moving,south,north"
44,"stationary,spot,plane,nearing"
45,"bright,orange,fiery,orb"
46,"one,orb,light,ascends,quickly,sky,another,descends,behind,tree,line"
47,"red,orange,orbs,flying,across,new"
48,"brief,sighting,grey,crescent,shaped,object,flying,night"
49,"driving,e,canton,ct,pointing,orion,constellation,girl,note,sirius,pd"
50,"bright,orange,globes,traveling,east,west"
51,"fireball,flew,woods"
52,"driving,south,milford,fairfield,pm,saw,triangular,aircraft,near,brightly,lit"
53,"cellphone,footage,objects,actually,moving,around,short,distance,flashing"
54,"witnessed,multiple,lights,sky,moved,changed,formation,stationary"
55,"orange,fireball,gliding,sky,ct,pm"
56,"bright,metallic,oval,object"
57,"comes,dead,stop,sky,simultaneously,turns,red,oval,light"
58,"driving,highway,noticed,green,fireball,orange,tail,approximately,feet,ground,object"
59,"six,flaming,flying,objects,identified,case,closed"
60,"groups,yellow,orange,small,traveling,disappeared,one,one"
61,"saw,thought,plane,sky,seemed,unusually,close,trees,bright,yellow,orange,lights,started,slowly"
62,"brilliant,orange,lights,lebanon,ct"
63,"ct,light,minutes,bright,absolutely,silent,pulsing,lights,moving,east,west,low,altitude"
64,"series,flashing,lights,took,vanished,within,second"
65,"ufo,sighting,closest,ever,seen"
66,"ball,fire,falling,sky"
67,""
68,"circle,bright,object,went,zigzag"
69,"bright,light,high,sky,moving,extremely,fast,west,east,ct"
70,""
71,"bright,lights,manchester,connecticut"
72,"fireball,ufo,seen,two,witnesses,ct"
73,"red,glowing,orbs,southern,sky,move"
74,"yellow,lights,forming,triangle,witnessed,near,fairfield,ct"
75,"driving,home,corner,eye,spot,circular,lights,moving,strange,patterns,flew,st"
76,"orange,star,sky"
77,"orange,lights,rt,bristol"
78,"white,circular,objects,minutes"
79,"five,orange,fireballs,ct"
80,"ufo,state,capitol"
81,"rounded,lighted,object,seen,ct"
82,"ball,light,moving,downward,quickly,went,behind,clouds,seemed,possibly,monroe,area"
83,"triangular,shape,aircraft,square,rear,silent,lights,slow,moving,large"
84,"greenish,blue,ball,light,ct,rd,time,month,min,duration"
85,"saw,many,bright,objects,appeared,size,traveling,fast,altitude,high,sky,going,westward"
86,"bright,flickering,star,shaped,ufo,note,star,planet,pd"
87,"slow,moving,hovering,triangular,shaped,object,multiple,bright,white,lights,one,red,light"
88,"hovering,flickering,light,sky,moved,erratically"
89,"eastern,ct,orange,lights,sky"
90,"orange,light,travelling,sky,light"
91,"object,hovering,woods,near,major,highway"
92,"large,bright,light"
93,"orange,reddish"
94,"four,fire,balls,one,another,like,fire,air,seems,impossible,seeing,distance,appear"
95,"hovering,thin,red,oval,suddenly,shoots,across,sky,leaving,amazing,red,beam,light,trail"
96,"small,craft,taking,shooting,fast"
97,"driving,towards,new,milford,passed,road,wife,saw,fireball,like,shape,sky,bright"
98,"triangular,shaped,crafts,flying,tight,formation"
99,"orange,orbs,sighted,moving,across,sky"
100,"zigzagging,object"
101,"fast,silent,orange,color"
102,"orange,spheres,two,consecutive,nights"
103,"strange,bright,light,northwest,ct"
104,"sphere,behind,house,rd,time,ive,seen,years,p"
105,"bright,blue,sphere,light,moving,across,towns,night,sky,silently,without,sound,interacting"
106,"deleted,note,possible,meteor,pd"
107,"green,egg,shaped,object,lightning,like,explosion,note,possible,meteor,pd"
108,"pretty,bright,light,like,star,coming,sky,seconds,second,time,see,place"
109,"round,red,light,shining,inside,outside,house"
110,"red,orb,followed,helicopter"
111,"floating,star,cigar,shaped,crafts,noise,helicopter"
112,"flashing,lights,ct"
113,"orbs,formation,flying"
114,"long,silver,colored,cylindrical,shaped,craft,seen,ct"
115,"elongated,lit,shapes,new,milford"
116,"noise,super,fast,one,white,front,four,white,four,blue,lights,back,color,like,cloud"
117,"two,white,bright,flashes,took,whole,room,disappeared,matter,seconds"
118,"bright,pulsating,star,fast,blink,eye"
119,"bright,yellow,fireball,like,light,hoovered,mountain,seconds,disappeared"
120,"three,lighted,circular,aircraft"
121,"grid,lights,moving,slowly,formation"
122,"chevron,shaped,light,flying"
123,"unknown,aircraft,dimmed,brightened,moving"
124,"strange,triangle,craft"
125,"triangle,shaped,object,sky,bright,yellow,lights,noise"
126,"ever,scared,much,cant,get,head"
127,"spring,bight,light,hundred,deer,spotted,burlington,connecticut"
128,"bright,light,ct"
129,"reddish,orange,lights,traveling,good,distance,apart,disappearing,one,seconds,flying"
130,"three,green,lights,appeared,high,level,building,apartment"
131,"glowing,object,falls,sky,connecticut,lake,says"
132,"unusual,astonishing,see"
133,"bright,orange,orb,near,west,side,reservoir"
134,"side,house,looked,hawk,two,see,circle,go,back"
135,"bright,orange,red,orange,spherical,floating,lights"
136,"red,octagon,shaped,objected,hovering,shortly,took,high,rate,speed"
137,"suddenly,got,thought"
138,"walking,dog,around,lake,noticed,low,flying,triangle,three,lights,one,corner,one"
139,"triangular,formation"
140,"wow"
141,"looking,e,towards,little,dipper,driveway,ct,saw,small,dot,light,moving,extremely,fast,across,sky"
142,"east,rock,area,nd,floor,one,could,see,type,group,bright,white,lights"
143,"single,white,light,craft,passed,close,commercial,jet,note,possibly,iss,pd"
144,"possible,seen,running,hills"
145,"flying,red,object,rancho,ca"
146,"saw,orbs,sky,hours,went,formation,triangle,one,quite,distance,th"
147,"light,shape,near,two,bases"
148,"fireballs,fontana,ca"
149,"bright,red,object,seen,ascending,rapidly,making,right,angle,turn,disappearing,view,ca"
150,"metal,looking,star,hovering,several,miles,sw,ca,friend,girlfriend,driving,park"
151,"orange,fireballs,sky"
152,"grouping,orange,lights,moved,sync,close,house"
153,"swarm,orange,orbs,stop,many,directions"
154,"diamond,shape,green,laser,lights,hovering,lake,note,possible,sighting,planet,pd"
155,"bright,red,diamond,shaped,object,fog,ball,object"
156,"cluster,sighting,ufo,north,sierra,ca,san,gabriel,mountains"
157,"girlfriend,east,beach,santa,barbara,adjacent,beach,house,lying"
158,"strange,lights,el,ca,move"
159,"unknown,objects,w,nw,canyon,lake,ca"
160,"intense,stationary,bright,light,sf,bay,area,sky"
161,"different,week,apart,tonight,bright,far,away,glow"
162,"intermittent,pulsing,blue,light,high,altitude,random,movement"
163,"shaped,glowing,red,helicopters,height,air"
164,"green,laser,ball,appears,elevation,airplane,almost,zips,away,black,sky"
165,"orange,orb,drops,flashing,orbs,sky,sacramento,disappears"
166,"multiple,ufos,different,type,craft,observed,simultaneously,tree,national,park,valley,ca"
167,"craft,witnessed,area,sacramento"
168,"scanning,light,passes,car,accompanied,three,flashes,two,beams,across,sky"
169,"large,meteor,something,fire,san,francisco,bay"
170,"light,diving,towards,ground,impact"
171,"bright,lights,early,morning,sky,eastern,san,diego,county"
172,"object,large,nature,bright,white,light,tail,entering,atmosphere,california"
173,"saw,unidentified,lights,night,sky"
174,"small,circle,flying,low,house,ca,flashing,lights"
175,"adult,noticed,glowing,cylinder,object,due,west,upstairs,bedroom,window"
176,"object,broke,three,pieces,bright,light,appeared,ended,travel"
177,"red,blue,green,purple,ufo,emerged,side,note,sighting,capella,pd"
178,"disk,shape,object,lights,sky,la"
179,"flickering,orange,lights,seen,sky,disappeared,minutes"
180,"circular,craft,turning,around,moving,amp,side,side,w,flashing,note,capella,pd"
181,"ufo,sighting,stockton"
182,"red,triangular,lights,lights,randomly,sec,video"
183,"oval,objects,flying,corona,california,broad,daylight"
184,"ufo,flying,circles,speeding,three,smaller,objects,behind,producing,light,moonlight"
185,"large,bright,white,orb,due,east,valley"
186,"glowing,light,unlike,anything,ever,seen,moved,across,sky,behind,cloud,faster,anything,ever,seen,b"
187,"sphere,high,sky,san,francisco,ca"
188,"circled,shape,object,vanishes,near,la,ca"
189,"fire,slow,moving,west,east,note,sighting,iss,pd"
190,"lighted,object,flying,fast,low,overhead,sound"
191,"strange,horizontal,formation,four,five,lights,bright,gold,colored,orb,right"
192,"bright,balls,light,around,sky,silence,super,speed"
193,"saw,ufo,two,parallel,white,lights,stationary,min,white,cloud,passed,took,dark,color"
194,"mass,ufo,sighting,pasadena,ca,pm,december"
195,"small,red,light,followed,orange,orbs,appeared,multiplied,disappeared"
196,"witnessed,two,red,steady,lights,moving,west,east,straight,line,across,night,sky,faster,plane,quick"
197,"reflective,spheres,southbound,riverside,ca,toward,lake,formation,w,one,breaking,loss,contact"
198,"planes,flew,watching,pass,saw,saucer,another,smaller,saucer,top,first,thought,clouds"
199,"slow,moving,bright,orange,fireball,appearing,somewhat,close,direction,unclear,suddenly,disappears"
200,"huge,unexplained,flashing,lights,sky,los,angeles,near,del,rey"
201,"ufos,flying,lax,airport"
202,"two,craft,side,side,north,south,pulsing,red,green,circular,light,pulses,total"
203,"white,rectangular,rolling,object,seemed,create,clouds,flew,clouds,dissipate"
204,"seemingly,power,outside,air,craft,steadily,moved,across,paused,eye,level,dropped"
205,"aircraft,movements,lights,unlike,known,powered,aircraft"
206,"star,formation,controlled,movements,seen,naked,eyes"
207,"chevron,craft,seen,sonoma,county,pm"
208,"sound,light,shooting,close,tree,line,neighbors,house,ca"
209,"balls,lights,hovering,mt,near,san,gabriel,valley"
210,"least,round,w,lights"
211,"unusual,object,appeared,suddenly,note,strongly,suspect,object,bird,possibly,pd"
